"Account", 账户
"Password", 密码
"Signin", 登录
"Signout", 登出
"Signup", 注册
"Setting", 设置

"Title", 标题
"Slug", 链接名
"Description", 简介
"Background", 背景色
"Font Color", 前景色
"Header", 头部
"Footer", 尾部
"Sidebar", 侧栏
"Content", 内容

"Save", 保存
"Post", 发表
"Cancel", 取消
"Preview", 预览

"Home", 首页
"Subscription", 订阅
"Node", 节点
"Nodes", 节点
"Dashboard", 管理
"Mentioned Nodes", 相关节点
"Recent Join", 最近加入
"Welcome", 欢迎
"In Node", 所属节点
"Vote", 投票者
"Topic", 话题
"New Topic", 新话题
"Edit Topic", 编辑
"Topic Creator", 话题发起者
"Choose a node", 选择一个节点

"Follow", 关注
"Following", 关注
"Unfollow", 取消关注

"Member", 会员
"Reputation", 声誉
"Role", 角色
"Username", 用户名
"Website", 个人站点
"Email", 邮箱
"Confirm", 确认
"Join at", 加入于
"Only English characters and digits are accepted.", 只接受英文字符和数字
"You need follow some nodes", 去注几个节点吧
"This topic is in", 这个话题位于
"Warning", 警告
"You have no permission to create a topic in this node", 对不起，你不能在这里新建一个话题
"You can't edit this topic now", 你现在不能再编辑这个话题了

"New Node", 新建节点
"Flush Cache", 清空缓存
"Member Manage", 会员管理

"Hits", 点击
"unread messages", 条未读消息

#### error messages
"Form Error", 表单错误
"Please fill the required field", 请填写下面的必填项
"Invalid account or password", 账户或者密码错误
'Not a valid email address', 邮箱格式错误
"Password doesn't match", 密码不匹配
"This email is already registered", 邮箱已经注册过了
'Captcha not valid', 验证码错误

"Username not valid, don't be evil", 用户名不符合要求
"Username is registered by other member", 用户名已被其他人注册
"Website not valid, don't be evil", 个人站点网址错误
